"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","states","totalTestResults","totalTestResultsIncrease"
"2020-05-01",61458,1812,4300,13572,9055,54888,54154,2410267,106658,376,4712,1106124,32880,56,6971878,285664
"2020-04-30",59646,2153,4192,13982,1425,54910,45099,2303609,79570,373,4708,1073244,30063,56,6686214,275235
"2020-04-29",57493,2689,4093,14254,1865,56010,43674,2224039,89076,365,4803,1043181,26179,56,6410979,257142
"2020-04-28",54804,2078,3798,14280,1253,56041,41809,2134963,69502,252,4760,1017002,25232,56,6153837,216600
"2020-04-27",52726,1274,3720,14496,1183,56181,40556,2065461,62416,252,4867,991770,22404,56,5937237,194555
"2020-04-26",51452,1212,2571,14753,1109,56167,39373,2003045,75262,227,5119,969366,27324,56,5742682,205595
"2020-04-25",50240,1634,2516,15056,1234,57346,38264,1927783,120083,227,5266,942042,40697,56,5537087,275824
"2020-04-24",48606,1973,2468,15274,1198,57367,37030,1807700,75512,227,5194,901345,31217,56,5261263,246096
"2020-04-23",46633,1806,2428,15407,1409,59215,35832,1732188,64683,227,5463,870128,31938,56,5015167,217920
"2020-04-22",44827,2150,2370,15705,1591,59204,34423,1667505,-213981,227,5474,838190,29273,56,4797247,335191
"2020-04-21",42677,2478,2315,15636,1431,59795,32832,1881486,69105,214,5514,808917,27354,56,4462056,166966
"2020-04-20",40199,1814,2193,15099,887,56720,31401,1812381,63578,214,5569,781563,24376,56,4295090,143980
"2020-04-19",38385,1765,2145,15005,734,56491,30514,1748803,68216,214,5603,757187,26930,56,4151110,148978
"2020-04-18",36620,1896,2096,15388,1459,57798,29780,1680587,69461,205,5733,730257,27573,56,4002132,172481
"2020-04-17",34724,2116,2052,15493,1289,58904,28321,1611126,67602,187,6098,702684,31500,56,3829651,172149
"2020-04-16",32608,2196,1834,15830,1261,59500,27032,1543524,79312,176,5940,671184,31266,56,3657502,183046
"2020-04-15",30412,2541,1710,15302,1176,59930,25771,1464212,57485,173,6033,639918,29834,56,3474456,149278
"2020-04-14",27871,2356,1642,14735,1466,59601,24595,1406727,73268,171,5981,610084,25943,56,3325178,160030
"2020-04-13",25515,1630,1549,14199,2304,56283,23129,1333459,57296,158,6170,584141,24136,56,3165148,125464
"2020-04-12",23885,1698,1449,14188,694,55294,20825,1276163,67358,158,5962,560005,28168,56,3039684,140619
"2020-04-11",22187,2079,1399,13856,1208,55563,20131,1208805,64373,152,5986,531837,31323,56,2899065,158549
"2020-04-10",20108,2081,1179,12693,1999,53167,18923,1144432,56216,39,5937,500514,33778,56,2740516,155771
"2020-04-09",18027,2054,918,12445,965,51323,16924,1088216,82731,39,5798,466736,34992,56,2584745,171012
"2020-04-08",15973,1999,862,10276,1332,45359,15959,1005485,68034,39,4142,431744,30964,56,2413733,165594
"2020-04-07",13974,2042,738,9978,370,43849,14627,937451,79011,43,4047,400780,30416,56,2248139,169756
"2020-04-06",11932,1314,663,7079,883,36159,14257,858440,69846,39,2961,370364,28260,56,2078383,137734
"2020-04-05",10618,1340,609,5811,1131,32180,13374,788594,33621,39,650,342104,25843,56,1940649,129412
"2020-04-04",9278,1478,403,5500,1732,30456,12243,754973,143525,39,656,316261,33122,56,1811237,231115
"2020-04-03",7800,1288,335,4928,1189,25723,10511,611448,54760,39,623,283139,31835,56,1580122,142407
"2020-04-02",6512,1175,305,4513,1320,22995,9322,556688,51405,32,576,251304,28135,56,1437715,131146
"2020-04-01",5337,1006,256,3937,1302,20906,8002,505283,44681,32,561,223169,26204,56,1306569,123021
"2020-03-31",4331,909,230,3487,1492,18155,6700,460602,44334,,506,196965,25000,56,1183548,114567
"2020-03-30",3422,584,187,3087,584,15892,5208,416268,50165,,449,171965,21139,56,1068981,100592
"2020-03-29",2838,506,156,2456,559,14055,4624,366103,41832,,433,150826,19683,56,968389,86974
"2020-03-28",2332,550,140,2174,682,12393,4065,324271,68463,,390,131143,19785,56,881415,111430
"2020-03-27",1782,411,124,1792,777,10887,3383,255808,45156,,293,111358,19215,56,769985,101260
"2020-03-26",1371,313,91,1299,655,7805,2606,210652,42359,,258,92143,17592,56,668725,106945
"2020-03-25",1058,241,74,,873,5140,1951,168293,33006,,167,74551,12657,56,561780,82429
"2020-03-24",817,235,,,261,3938,1078,135287,33947,,,61894,10896,56,479351,86845
"2020-03-23",582,102,,,190,2812,817,101340,21109,,,50998,11190,56,392506,57023
"2020-03-22",480,145,,,139,2173,627,80231,12428,,,39808,9228,56,335483,52323
"2020-03-21",335,62,,,316,1492,488,67803,16060,,,30580,6940,56,283160,52248
"2020-03-20",273,70,,,44,1042,172,51743,11805,,,23640,6100,56,230912,49555
"2020-03-19",203,51,,,34,617,128,39938,8361,,,17540,4606,56,181357,39258
"2020-03-18",152,26,,,18,416,94,31577,5394,,,12934,3357,56,142099,32196
"2020-03-17",126,24,,,33,325,76,26183,5856,,,9577,2128,56,109903,26755
"2020-03-16",102,22,,,6,,43,20327,10931,,,7449,1711,56,83148,23114
"2020-03-15",80,15,,,10,,37,9396,1987,,,5738,1262,51,60034,10202
"2020-03-14",65,8,,,4,,27,7409,1876,,,4476,1026,51,49832,9816
"2020-03-13",57,5,,,6,,23,5533,1241,,,3450,858,51,40016,9733
"2020-03-12",52,9,,,5,,17,4292,991,,,2592,677,51,30283,6683
"2020-03-11",43,6,,,3,,12,3301,1021,,,1915,418,51,23600,4447
"2020-03-10",37,2,,,0,,9,2280,494,,,1497,436,51,19153,3322
"2020-03-09",35,4,,,3,,9,1786,442,,,1061,304,51,15831,2055
"2020-03-08",31,4,,,0,,6,1344,196,,,757,170,51,13776,1130
"2020-03-07",27,1,,,0,,6,1148,274,,,587,142,51,12646,931
"2020-03-06",26,6,,,1,,6,874,161,,,445,138,40,11715,2177
"2020-03-05",20,4,,,1,,5,713,132,,,307,65,32,9538,1515
"2020-03-04",16,2,,,4,,4,581,576,,,242,128,26,8023,890
